BDGNBR,n
129372,2
129385,3
129976,3
130097,1
130555,3
130575,2
130578,2
130588,1
130600,1
130602,1
130625,1
130626,1
130650,1
130664,1
130673,4
130677,3
130681,4
130685,2
130695,3
130696,1
130698,2
130712,4
130714,4
130733,1
130745,1
130756,2
130757,3
130759,1
130779,6
130800,1
130833,1
130845,4
130978,2
130992,4
130994,2
131060,1
131064,2
131072,3
131094,1
131100,4
131101,3
131126,1
131152,1
131167,4
131169,5
131178,2
131189,1
131198,3
131223,1
131243,2
131248,6
131250,4
131261,1
131269,2
131289,1
131292,4
131297,3
131299,5
131304,4
131306,4
131317,2
131323,3
131338,2
131346,1
131356,1
131364,5
131368,1
131380,3
131407,1
131409,1
131412,2
131431,2
131436,1
131455,1
131469,1
131479,1
131511,1
131523,1
131534,1
131553,1
131556,1
131561,1
131567,1
131570,2
131571,2
131584,2
131590,2
131597,1
131606,2
131617,1
131624,1
131631,1
131642,1
131661,1
131667,1
131685,1
131689,1
131692,1
131696,1
131698,2
131710,2
131730,3
131731,2
131733,1
131740,2
131747,2
131750,1
131754,2
131769,1
131778,1
131789,2
131792,1
131794,1
131840,1
131912,3
131977,2
131987,5
132032,1
132033,2
132047,3
132062,1
132072,1
132122,5
132124,3
132127,4
132130,1
132164,2
132178,3
132205,1
132208,1
132217,1
132316,2
132354,3
132426,1
132437,2
132442,4
132450,4
132669,1
132901,1
135569,1
135605,1
135620,1
138595,2
138808,1
138987,1
138998,1
139007,1
139118,1
147447,1
147448,1
147525,1
147551,1
147618,2
147650,4
147656,1
147673,3
147693,2
150845,1
153703,2
153712,1
153754,3
153780,1
153783,1
156679,1
156693,2
156701,1
156705,2
156712,4
156713,2
156714,5
156730,1
156731,1
156741,4
156747,1
156749,2
156756,1
156758,2
156764,2
156768,1
162601,1
162640,6
162647,3
162655,1
163267,1
163276,4
163278,3
163284,1
163285,1
163288,1
163299,3
163304,2
163305,1
163319,3
163320,1
163324,1
163333,4
163347,2
163348,4
163351,2
163355,4
163362,2
163363,2
163392,2
163854,2
164050,4
164066,1
164371,4
164748,2
166722,3
166787,3
166794,3
176183,23
176203,2
176220,1
176231,42
176236,1
176245,10
176261,1
176265,1
176273,9
176274,65
176285,46
176292,26
176296,12
176298,4
176301,44
176303,1
176304,6
176306,25
176307,68
176308,39
176309,14
176311,27
176312,8
176316,49
176331,43
176332,38
176333,61
176334,34
176336,67
176337,1
176338,31
176339,7
176343,17
176344,13
176345,35
176350,42
176351,40
176355,1
176356,53
176358,1
176359,2
176361,74
176362,60
176367,40
176370,19
176376,1
176379,61
176380,30
176383,63
176384,16
176386,10
176390,45
176394,1
176395,45
176401,5
176410,1
176411,16
176412,29
176413,39
176416,1
176418,52
176419,47
176420,7
176425,40
